,Fecha,PM10,PM2.5,SO2,NO2,O3
76,2024-12-29,12.59958333,7.04791667,1.3525,19.81166667,23.70458333
77,2024-12-28,15.47125,9.04708333,0.43541667,23.84541667,24.59416667
78,2024-12-27,11.84416667,6.95791667,0.81083333,23.42708333,24.49833333
79,2024-12-26,17.325,9.34625,0.32681818,26.18041667,22.21041667
80,2024-12-25,14.63208333,10.2575,0.64875,17.5275,26.60375
81,2024-12-24,12.12166667,7.49541667,1.21625,18.33666667,34.0075
82,2024-12-23,15.89125,10.22,0.46,24.515,23.89458333
83,2024-12-22,16.39,11.21291667,0.54625,23.16666667,25.22875
84,2024-12-21,21.16041667,13.11791667,0.37,28.82333333,23.99083333
85,2024-12-20,23.76541667,15.26666667,0.37375,29.21541667,26.50708333
86,2024-12-19,26.84833333,16.0825,0.65421053,31.53541667,29.85909091
87,2024-12-18,22.99583333,15.34375,0.37363636,38.57041667,29.71727273
88,2024-12-17,23.30708333,14.8325,0.395,32.15625,28.74166667
89,2024-12-16,15.60875,9.55458333,0.65666667,22.95916667,36.62375
90,2024-12-15,18.31875,9.69916667,0.37791667,22.47375,33.9175
91,2024-12-14,19.86458333,11.49166667,1.28875,25.10416667,35.60833333
92,2024-12-13,22.86916667,13.43375,1.1075,32.82777778,33.6175
93,2024-12-12,25.9325,15.17416667,0.96941176,35.31375,20.8525
94,2024-12-11,25.5,14.7125,1.5125,32.66791667,39.17541667
95,2024-12-10,23.54583333,13.53791667,1.65,35.43,33.61625
96,2024-12-09,23.08583333,13.12333333,1.24125,34.42166667,31.78625
97,2024-12-08,17.77666667,10.96291667,1.46791667,22.38291667,40.02708333
98,2024-12-07,18.74791667,10.94375,0.57666667,23.68916667,38.68375
99,2024-12-06,19.85722222,11.38055556,1.12166667,28.915,31.94777778
100,2024-12-05,19.35708333,10.99791667,0.98916667,31.26541667,27.58625
101,2024-12-04,19.955,11.03666667,1.12916667,26.73666667,27.46375
102,2024-12-03,19.63958333,11.34708333,1.28958333,26.60041667,26.71708333
103,2024-12-01,18.9365,11.703,,40.88,30.1495
104,2024-11-30,20.115,12.06833333,,29.37272727,26.41
105,2024-11-29,18.52791667,10.91416667,,29.72791667,20.33583333
106,2024-11-28,13.92333333,6.82791667,,29.15545455,26.64391304
107,2024-11-27,11.85291667,5.40909091,,34.84875,29.515
108,2024-11-26,16.77041667,9.048,,30.18375,25.16958333
109,2024-11-25,14.65625,7.05708333,,38.98,21.44
110,2024-11-24,12.27875,6.68166667,,23.03541667,22.87666667
111,2024-11-23,14.97875,8.02416667,,26.94916667,18.97541667
112,2024-11-22,14.65875,7.43708333,,28.01791667,18.37125
113,2024-11-21,11.74772727,5.60318182,,26.81409091,19.07727273
114,2024-11-20,9.47833333,4.49583333,,19.76416667,27.43708333
115,2024-11-19,15.20333333,7.72958333,,27.01708333,17.47458333
116,2024-11-18,11.22083333,6.05916667,,23.14666667,23.05652174
117,2024-11-17,12.60166667,8.11333333,0.41217391,20.975,20.11583333
118,2024-11-16,11.01291667,5.815,0.89541667,22.97166667,16.74208333
119,2024-11-15,11.52583333,6.14041667,0.77916667,21.15708333,18.49
120,2024-11-14,13.3375,7.08291667,1.25652174,30.80681818,11.51916667
121,2024-11-13,8.93666667,4.43875,0.91875,22.15041667,19.46708333
122,2024-11-12,9.6125,4.2,0.51416667,22.40791667,17.0475
123,2024-11-11,6.12363636,2.96636364,1.41772727,14.24954545,26.33045455
124,2024-11-10,7.94826087,4.31347826,0.32608696,15.88695652,17.83869565
125,2024-11-09,14.65833333,7.46416667,0.50416667,22.2175,28.90208333
126,2024-11-08,12.74083333,7.18958333,0.74625,26.28875,21.72833333
127,2024-11-07,10.68458333,5.94625,0.36818182,24.49958333,25.36782609
128,2024-11-06,11.57958333,5.90708333,0.93875,23.30541667,23.39625
